CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,InternetService,TechSupport,SeniorCitizen,Partner,PaperlessBilling,Churn
CUST00021,61.0,M,4,131.51,3546.9,One Year,Credit Card,Fiber Optic,No,1,No,Yes,No
CUST00022,,Male,7,84.35,3221.87,Two Year,Electronic Check,Fiber Optic,Yes,1,Yes,No,No
CUST00023,55.0,M,3,37.02,7499.05,Month-to-Month,Credit Card,No,No,0,No,Yes,No
CUST00024,19.0,male,7,110.51,418.23,Two Year,Credit Card,No,Yes,0,No,Yes,Yes
CUST00025,38.0,Male,9,46.79,2789.62,Month-to-Month,Credit Card,No,No,1,No,Yes,No
CUST00026,50.0,Male,13,77.36,6121.09,One Year,Credit Card,Fiber Optic,Yes,1,Yes,No,No
CUST00027,29.0,male,14,28.45,5097.68,One Year,Mailed Check,DSL,No,1,No,Yes,Yes
CUST00028,39.0,male,1,127.29,3937.88,Two Year,Mailed Check,No,No,0,Yes,No,Yes
CUST00029,61.0,M,8,36.37,4868.74,One Year,Mailed Check,DSL,Yes,1,No,No,No
CUST00030,42.0,M,12,137.4,1794.31,Two Year,Credit Card,Fiber Optic,No,0,Yes,Yes,No
CUST00031,66.0,male,8,132.35,3887.84,Month-to-Month,Mailed Check,No,Yes,0,No,No,No
CUST00032,44.0,M,14,80.4,4525.29,Two Year,Bank Transfer,No,Yes,0,No,Yes,No
CUST00033,59.0,male,13,116.77,8112.68,Month-to-Month,Bank Transfer,No,No,0,Yes,Yes,No
CUST00034,45.0,Male,9,100.53,2362.3,One Year,Bank Transfer,Fiber Optic,No,1,Yes,Yes,No
CUST00035,33.0,Male,9,124.4,7813.1,Month-to-Month,Electronic Check,Fiber Optic,No,0,No,Yes,No
CUST00036,32.0,Female,12,76.13,5805.29,Month-to-Month,Credit Card,Fiber Optic,No,0,No,No,Yes
CUST00037,64.0,Male,5,122.16,202.66,Month-to-Month,Electronic Check,DSL,Yes,1,No,Yes,No
CUST00038,68.0,male,3,80.12,6527.19,Month-to-Month,Mailed Check,DSL,Yes,1,Yes,No,No
CUST00039,61.0,M,3,142.33,339.26,Month-to-Month,Credit Card,No,No,0,No,No,Yes
CUST00040,69.0,Female,12,83.23,8976.48,Two Year,Bank Transfer,No,Yes,1,Yes,Yes,No
CUST00041,20.0,M,5,80.14,7856.28,Month-to-Month,Credit Card,Fiber Optic,No,1,Yes,No,No
CUST00042,54.0,male,4,122.06,2690.15,Month-to-Month,Electronic Check,Fiber Optic,Yes,0,Yes,Yes,No
CUST00043,68.0,Male,5,126.81,2331.55,Month-to-Month,Mailed Check,Fiber Optic,No,1,No,Yes,No
CUST00044,24.0,Female,6,92.08,3445.34,Month-to-Month,Mailed Check,No,No,0,No,Yes,No
CUST00045,38.0,male,6,43.37,3218.38,Month-to-Month,Electronic Check,Fiber Optic,Yes,0,No,No,No
CUST00046,26.0,Female,8,80.81,3363.59,Month-to-Month,Credit Card,DSL,No,1,No,Yes,Yes
CUST00047,56.0,Female,7,145.85,2878.12,One Year,Electronic Check,DSL,Yes,1,Yes,No,No
CUST00048,35.0,Male,12,117.89,5597.78,Two Year,Mailed Check,No,No,1,No,Yes,No
CUST00049,21.0,male,5,125.45,1495.09,Month-to-Month,Bank Transfer,No,Yes,0,Yes,No,No
CUST00050,42.0,M,11,24.27,7616.91,Two Year,Mailed Check,DSL,Yes,1,Yes,Yes,Yes
CUST00051,31.0,Female,5,80.82,7315.37,One Year,Mailed Check,Fiber Optic,Yes,0,Yes,No,No
CUST00052,67.0,Female,14,104.06,4298.82,One Year,Credit Card,No,Yes,1,No,Yes,No
CUST00053,26.0,M,13,127.9,7677.52,Month-to-Month,Bank Transfer,No,No,0,No,No,Yes
CUST00054,43.0,male,4,26.41,2239.36,Two Year,Mailed Check,No,No,1,No,Yes,Yes
CUST00055,19.0,Female,0,130.82,177.74,Month-to-Month,Bank Transfer,DSL,No,0,Yes,No,No
CUST00056,37.0,Female,8,91.29,5580.49,One Year,Electronic Check,No,Yes,1,Yes,Yes,No
CUST00057,45.0,Female,8,45.65,4132.03,One Year,Credit Card,DSL,No,1,No,No,No
CUST00058,64.0,male,8,61.24,5113.14,Two Year,Bank Transfer,DSL,No,1,Yes,Yes,Yes
CUST00059,24.0,male,14,56.65,8096.07 ,Month-to-Month,Bank Transfer,Fiber Optic,No,1,Yes,Yes,Yes
CUST00060,61.0,M,10,89.01,8729.93,Two Year,Credit Card,Fiber Optic,No,1,Yes,Yes,No
CUST00061,25.0,male,7,26.72,5717.39,Two Year,Electronic Check,Fiber Optic,Yes,0,No,No,No
CUST00062,64.0,male,12,40.61,6881.22,One Year,Bank Transfer,No,No,0,No,No,No
CUST00063,52.0,Male,9,125.65,772.6,Two Year,Credit Card,DSL,No,1,No,Yes,No
CUST00064,31.0,M,12,37.24,1463.23,One Year,Mailed Check,No,Yes,0,Yes,No,No
CUST00065,34.0,Female,2,50.34,6604.18,Month-to-Month,Credit Card,DSL,No,0,No,Yes,No
CUST00066,53.0,male,0,78.94,3893.66,Two Year,Mailed Check,No,Yes,1,No,Yes,No
CUST00067,67.0,Female,10,87.23,4024.77,Two Year,Bank Transfer,DSL,No,1,Yes,Yes,Yes
CUST00068,57.0,Female,11,119.27,2791.3,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0,Yes,No,Yes
CUST00069,21.0,Male,11,78.15,5474.06,Two Year,Bank Transfer,Fiber Optic,Yes,0,No,Yes,No
CUST00070,19.0,male,7,122.68,1682.78,Month-to-Month,Electronic Check,No,No,1,No,No,No
CUST00071,23.0,M,6,100.39,5649.71,One Year,Electronic Check,DSL,No,1,No,No,No
CUST00072,59.0,male,12,34.7,1580.71,One Year,Mailed Check,Fiber Optic,No,1,Yes,Yes,No
CUST00073,21.0,Female,4,40.32,593.16,Two Year,Credit Card,DSL,No,0,No,No,Yes
CUST00074,46.0,M,9,76.81,2986.61,One Year,Mailed Check,No,No,1,Yes,No,No
CUST00075,35.0,male,6,71.6,2095.64,One Year,Credit Card,Fiber Optic,No,0,No,No,No
CUST00076,43.0,Female,9,116.66,8003.14,Month-to-Month,Bank Transfer,No,Yes,1,No,Yes,Yes
CUST00077,61.0,Female,3,95.5,513.48,One Year,Credit Card,No,Yes,1,Yes,Yes,Yes
CUST00078,51.0,Male,8,70.46,1605.99,One Year,Electronic Check,DSL,Yes,0,No,No,No
CUST00079,27.0,Male,10,42.2,4947.5,One Year,Credit Card,No,Yes,1,Yes,No,No
CUST00080,53.0,Male,9,49.49,4339.98,Month-to-Month,Credit Card,No,No,0,No,Yes,Yes
CUST00081,31.0,Female,13,94.82,431.75,Two Year,Bank Transfer,DSL,Yes,0,No,Yes,No
CUST00082,48.0,male,1,75.05,85.13,Month-to-Month,Bank Transfer,DSL,Yes,0,No,No,Yes
CUST00083,65.0,Male,8,86.94,8892.85,Two Year,Electronic Check,No,Yes,1,No,Yes,Yes
CUST00084,32.0,male,8,42.19,5936.34,Two Year,Credit Card,Fiber Optic,No,1,No,Yes,No
CUST00085,25.0,Male,4,106.18,3301.35,One Year,Credit Card,Fiber Optic,No,1,Yes,No,No
CUST00086,31.0,M,10,130.83,4244.48,One Year,Credit Card,DSL,No,0,No,Yes,No
CUST00087,40.0,M,0,53.53,2413.62,Month-to-Month,Bank Transfer,No,Yes,1,No,No,Yes
CUST00088,57.0,Male,6,83.9,3116.97,Month-to-Month,Electronic Check,Fiber Optic,No,1,Yes,No,No
CUST00089,38.0,Female,9,146.82,,Month-to-Month,Credit Card,DSL,Yes,1,No,No,No
CUST00090,33.0,Male,9,63.32,7947.65,One Year,Credit Card,DSL,Yes,1,Yes,No,No
CUST00091,62.0,Male,3,97.36,1673.49,Two Year,Credit Card,DSL,Yes,1,No,Yes,No
CUST00092,35.0,Female,8,31.73,7566.45,Month-to-Month,Credit Card,No,No,0,No,Yes,No
CUST00093,64.0,M,5,98.78,1111.58,Two Year,Electronic Check,DSL,No,1,Yes,Yes,No
CUST00094,41.0,male,12,31.65,1950.63,One Year,Electronic Check,Fiber Optic,No,1,Yes,Yes,No
CUST00095,43.0,Male,2,144.7,353.83,One Year,Electronic Check,No,Yes,1,No,No,No
CUST00096,42.0,Female,5,113.04,1284.49,One Year,Bank Transfer,Fiber Optic,No,0,Yes,Yes,No
CUST00097,62.0,Male,12,122.46,8257.38,One Year,Credit Card,Fiber Optic,No,1,No,No,Yes
CUST00098,58.0,Female,9,111.53,4145.76,Two Year,Credit Card,Fiber Optic,No,0,Yes,No,No
CUST00099,46.0,male,5,96.66,717.44,Two Year,Credit Card,No,Yes,0,Yes,No,Yes
CUST00100,32.0,male,4,78.49,8638.35,Month-to-Month,Credit Card,Fiber Optic,Yes,1,Yes,Yes,No
CUST00101,62.0,M,1,131.59,7913.35,Two Year,Mailed Check,DSL,Yes,0,Yes,No,No
CUST00102,18.0,Female,9,144.39,6797.05,Two Year,Electronic Check,DSL,Yes,0,Yes,No,No
CUST00103,42.0,Female,9,84.87,8402.59,Two Year,Mailed Check,Fiber Optic,No,0,No,Yes,Yes
CUST00104,24.0,M,1,141.1,1996.76,Month-to-Month,Mailed Check,DSL,No,1,No,No,Yes
CUST00105,26.0,M,6,95.83,7530.6,Two Year,Bank Transfer,No,Yes,0,Yes,Yes,No
CUST00106,41.0,Female,1,89.99,6216.12,Two Year,Bank Transfer,No,No,1,No,Yes,No
CUST00107,18.0,M,11,79.08,7830.44,Two Year,Credit Card,DSL,Yes,1,Yes,No,No
CUST00108,61.0,male,5,47.21,7176.27,One Year,Mailed Check,DSL,No,0,No,No,No
CUST00109,25.0,Male,4,20.48,3131.53,Two Year,Mailed Check,No,No,0,Yes,Yes,No
CUST00110,41.0,male,3,51.4,6974.1,Month-to-Month,Electronic Check,Fiber Optic,No,0,Yes,Yes,Yes
CUST00111,28.0,M,6,86.26,2376.86,Month-to-Month,Mailed Check,No,Yes,1,No,No,No
CUST00112,68.0,Female,7,69.39,2970.76,Month-to-Month,Bank Transfer,Fiber Optic,No,1,Yes,No,Yes
CUST00113,34.0,Female,3,78.3,988.99,Month-to-Month,Mailed Check,DSL,No,0,No,No,Yes
CUST00114,25.0,male,0,147.48,8416.99,One Year,Bank Transfer,DSL,No,0,Yes,No,No
CUST00115,52.0,Female,0,65.54,2633.21,Month-to-Month,Credit Card,Fiber Optic,No,1,Yes,No,No
CUST00116,52.0,M,0,78.78,4695.19,One Year,Bank Transfer,Fiber Optic,Yes,1,Yes,No,No
CUST00117,50.0,male,10,37.36,3534.17 ,One Year,Credit Card,No,Yes,1,No,No,Yes
CUST00118,22.0,Female,0,26.23,8640.15,One Year,Electronic Check,Fiber Optic,Yes,0,Yes,No,No
CUST00119,59.0,Male,4,120.8,,Month-to-Month,Credit Card,DSL,No,0,No,No,Yes
CUST00120,56.0,Male,3,94.19,7011.34,Month-to-Month,Mailed Check,DSL,No,1,No,No,No
CUST00121,58.0,M,12,118.89,7701.64,One Year,Bank Transfer,DSL,No,1,No,Yes,No
CUST00122,45.0,Female,13,39.48,3931.75,One Year,Credit Card,Fiber Optic,Yes,0,No,Yes,No
CUST00123,24.0,M,8,94.34,3415.98,Month-to-Month,Credit Card,Fiber Optic,Yes,1,Yes,Yes,No
CUST00124,26.0,male,14,52.97,6734.76,Two Year,Credit Card,DSL,No,0,Yes,Yes,Yes
CUST00125,25.0,Male,2,49.65,8217.81,Two Year,Credit Card,Fiber Optic,Yes,1,Yes,No,No
CUST00126,29.0,male,13,21.5,6799.29,Two Year,Credit Card,No,Yes,1,Yes,Yes,No
CUST00127,51.0,Female,6,36.94,2059.59,Month-to-Month,Credit Card,No,No,1,No,No,No
CUST00128,50.0,M,10,60.2,7997.0,Month-to-Month,Bank Transfer,Fiber Optic,Yes,1,No,No,No
CUST00129,65.0,M,7,35.19,3500.48,One Year,Mailed Check,Fiber Optic,No,0,No,No,No
CUST00130,40.0,M,5,148.16,5194.54,Month-to-Month,Mailed Check,DSL,Yes,1,Yes,No,No
CUST00131,41.0,male,11,60.12,7486.29,Month-to-Month,Credit Card,Fiber Optic,Yes,1,No,No,No
CUST00132,54.0,Male,12,36.94,1711.79,Month-to-Month,Bank Transfer,DSL,Yes,0,No,Yes,No
CUST00133,52.0,male,9,45.88,7064.9,One Year,Credit Card,No,Yes,0,Yes,Yes,No
CUST00134,61.0,male,12,96.4,5373.54,One Year,Electronic Check,Fiber Optic,No,0,Yes,Yes,No
CUST00135,57.0,Female,0,28.33,8042.21,Two Year,Mailed Check,No,No,1,Yes,No,No
CUST00136,39.0,Female,7,132.12,1564.29,Two Year,Credit Card,Fiber Optic,Yes,0,Yes,Yes,No
CUST00137,,Female,14,144.99,3797.73,Month-to-Month,Bank Transfer,Fiber Optic,No,1,Yes,Yes,No
CUST00138,52.0,Male,9,52.08,7498.93,Month-to-Month,Mailed Check,DSL,Yes,0,Yes,No,No
CUST00139,18.0,Male,2,78.51,192.7,One Year,Bank Transfer,DSL,No,1,Yes,No,No
CUST00140,52.0,Female,7,22.88,1027.57,Two Year,Electronic Check,Fiber Optic,Yes,0,No,Yes,No
CUST00141,54.0,Female,11,103.29,8915.28,Two Year,Credit Card,Fiber Optic,No,0,No,No,No
CUST00142,64.0,Male,3,73.81,2537.94,Two Year,Electronic Check,DSL,Yes,0,No,No,No
CUST00143,31.0,M,7,55.11,8780.38,Month-to-Month,Mailed Check,No,Yes,1,Yes,Yes,No
CUST00144,20.0,Male,10,46.89,1659.13,Month-to-Month,Credit Card,Fiber Optic,No,1,Yes,Yes,No
CUST00145,18.0,Male,0,105.02,3262.63,Month-to-Month,Mailed Check,DSL,Yes,0,No,No,Yes
CUST00146,22.0,Male,2,74.11,6780.77,One Year,Credit Card,Fiber Optic,Yes,1,Yes,No,Yes
CUST00147,43.0,Female,5,43.36,5926.85,Two Year,Bank Transfer,DSL,Yes,1,No,Yes,No
CUST00148,31.0,M,14,109.58,5238.48,One Year,Mailed Check,No,Yes,1,Yes,Yes,No
CUST00149,56.0,Male,14,93.46,4778.49,Two Year,Electronic Check,Fiber Optic,No,1,No,Yes,Yes
CUST00150,44.0,Female,8,131.63,7594.1,Month-to-Month,Electronic Check,Fiber Optic,No,1,No,No,No
CUST00151,26.0,male,1,35.27,2129.84,One Year,Bank Transfer,No,Yes,0,Yes,Yes,Yes
CUST00152,32.0,male,10,122.14,3993.39,One Year,Bank Transfer,Fiber Optic,Yes,1,Yes,Yes,Yes
CUST00153,32.0,Male,0,107.56,1415.96,Month-to-Month,Electronic Check,Fiber Optic,No,0,Yes,Yes,No
CUST00154,43.0,male,14,34.95,5371.56,Two Year,Bank Transfer,Fiber Optic,No,0,Yes,No,No
CUST00155,59.0,M,9,110.33,2269.89,Two Year,Credit Card,DSL,Yes,0,No,No,No
CUST00156,30.0,male,2,77.4,3017.9,Two Year,Electronic Check,DSL,Yes,1,No,Yes,Yes
CUST00157,68.0,male,3,142.85,4251.83,Two Year,Mailed Check,Fiber Optic,No,1,No,No,No
CUST00158,49.0,M,10,38.41,260.4,Month-to-Month,Electronic Check,No,Yes,0,No,Yes,No
CUST00159,56.0,Male,4,103.57,845.6,Month-to-Month,Bank Transfer,No,No,0,No,Yes,No
CUST00160,66.0,Male,2,69.66,6179.64,Month-to-Month,Credit Card,Fiber Optic,No,0,No,Yes,No
CUST00161,69.0,M,12,144.39,3872.15,Month-to-Month,Mailed Check,DSL,No,0,Yes,No,No
CUST00162,49.0,M,9,62.9,7785.82,One Year,Electronic Check,DSL,Yes,1,No,Yes,Yes
CUST00163,21.0,M,10,145.08,6258.15,One Year,Electronic Check,Fiber Optic,No,0,Yes,No,Yes
CUST00164,47.0,male,1,137.19,92.75,One Year,Mailed Check,DSL,No,0,No,No,Yes
CUST00165,54.0,M,1,55.15,5558.08,Month-to-Month,Credit Card,DSL,Yes,1,Yes,Yes,No
CUST00166,40.0,Female,6,124.46,861.65,Two Year,Bank Transfer,No,No,0,Yes,No,No
CUST00167,56.0,male,8,149.43,7032.78,One Year,Bank Transfer,Fiber Optic,No,1,No,Yes,No
CUST00168,62.0,Male,9,52.85,8923.74,One Year,Bank Transfer,DSL,No,0,Yes,Yes,No
CUST00169,32.0,Male,1,76.78,4790.17,Month-to-Month,Bank Transfer,DSL,No,1,No,Yes,No
CUST00170,60.0,Male,6,87.62,6151.36,Two Year,Mailed Check,DSL,No,1,Yes,Yes,Yes
CUST00171,46.0,male,6,58.34,2151.08,Two Year,Credit Card,Fiber Optic,No,1,No,No,Yes
CUST00172,53.0,Female,10,21.98,3949.63,Two Year,Credit Card,Fiber Optic,Yes,0,Yes,Yes,No
CUST00173,30.0,M,6,48.62,7707.74,Month-to-Month,Electronic Check,DSL,Yes,1,No,Yes,No
CUST00174,49.0,M,2,56.65,1523.46,Two Year,Electronic Check,No,Yes,0,No,Yes,No
CUST00175,24.0,Male,11,77.67,2404.51,One Year,Credit Card,No,No,1,No,Yes,Yes
CUST00176,68.0,Male,6,42.24,4019.99,One Year,Electronic Check,Fiber Optic,No,1,Yes,No,Yes
CUST00177,39.0,male,0,133.52,6416.0,One Year,Credit Card,No,No,1,No,No,No
CUST00178,45.0,Female,9,111.64,,Month-to-Month,Mailed Check,DSL,Yes,0,No,Yes,Yes
CUST00179,19.0,M,0,31.08,8351.04,Two Year,Mailed Check,Fiber Optic,Yes,1,No,No,Yes
CUST00180,59.0,male,4,104.51,868.22,Month-to-Month,Bank Transfer,Fiber Optic,No,1,No,Yes,No
CUST00181,62.0,M,14,104.98,,Two Year,Credit Card,No,Yes,1,Yes,Yes,Yes
CUST00182,23.0,Male,1,144.31,6386.41,Month-to-Month,Mailed Check,Fiber Optic,Yes,1,Yes,Yes,No
CUST00183,45.0,M,8,20.39,2049.36,One Year,Credit Card,No,No,0,Yes,No,No
CUST00184,45.0,Female,14,52.23,5914.59,Month-to-Month,Electronic Check,No,Yes,0,No,Yes,No
CUST00185,61.0,Female,6,140.61,1494.67,Month-to-Month,Credit Card,DSL,Yes,1,Yes,No,No
CUST00186,61.0,Male,3,141.18,522.7,Month-to-Month,Bank Transfer,No,Yes,1,Yes,No,No
CUST00187,37.0,Female,3,113.68,1106.72,One Year,Bank Transfer,No,Yes,1,Yes,Yes,No
CUST00188,47.0,Female,1,119.55,8371.26,Month-to-Month,Mailed Check,Fiber Optic,No,1,Yes,No,No
CUST00189,28.0,male,4,31.89,4974.72,Month-to-Month,Electronic Check,DSL,No,0,Yes,Yes,Yes
CUST00190,45.0,M,3,86.8,7171.19,One Year,Electronic Check,DSL,Yes,1,Yes,No,No
CUST00191,42.0,Male,11,50.11,3007.24,Two Year,Credit Card,No,Yes,1,No,No,Yes
CUST00192,56.0,Male,12,43.56,5342.07,Month-to-Month,Electronic Check,Fiber Optic,Yes,0,No,No,No
CUST00193,50.0,Male,0,125.34,4464.67,One Year,Bank Transfer,Fiber Optic,Yes,1,Yes,No,No
CUST00194,18.0,Male,11,37.55,8512.73,Month-to-Month,Mailed Check,Fiber Optic,No,1,No,Yes,Yes
CUST00195,44.0,Male,7,80.92,6733.22,One Year,Mailed Check,DSL,No,0,No,Yes,Yes
CUST00196,69.0,Female,2,142.02,6580.27,Two Year,Mailed Check,DSL,Yes,1,No,Yes,Yes
CUST00197,30.0,male,13,44.16,436.25,Two Year,Electronic Check,No,Yes,0,No,Yes,No
CUST00198,58.0,Male,5,147.14,4956.03,Month-to-Month,Electronic Check,No,Yes,1,No,Yes,No
CUST00199,20.0,male,3,149.26,4213.58,One Year,Bank Transfer,Fiber Optic,Yes,0,Yes,Yes,No
CUST00200,56.0,male,8,92.23,8352.02,Two Year,Credit Card,No,No,0,Yes,Yes,No
CUST00201,23.0,Female,6,42.12,2330.93,Two Year,Credit Card,Fiber Optic,Yes,1,No,No,Yes
CUST00202,25.0,Male,8,61.09,2443.1,One Year,Mailed Check,DSL,Yes,1,Yes,No,Yes
CUST00203,44.0,Female,9,75.18,3713.89,Month-to-Month,Mailed Check,No,No,1,Yes,Yes,No
CUST00204,26.0,Male,2,60.21,2205.46,Two Year,Electronic Check,Fiber Optic,Yes,1,Yes,Yes,No
CUST00205,54.0,Female,0,56.48,1180.07,Two Year,Mailed Check,DSL,No,0,Yes,No,No
CUST00206,50.0,male,4,146.39,7719.59,Two Year,Bank Transfer,Fiber Optic,No,1,Yes,No,No
CUST00207,68.0,Male,2,39.94,5033.32,Month-to-Month,Bank Transfer,No,Yes,1,Yes,Yes,Yes
CUST00208,59.0,M,5,115.33,7755.04,Two Year,Mailed Check,Fiber Optic,No,1,Yes,Yes,No
CUST00209,61.0,male,7,20.05,7483.59,One Year,Mailed Check,DSL,Yes,0,No,No,No
CUST00210,41.0,M,10,97.5,2552.74,Month-to-Month,Mailed Check,No,Yes,0,No,No,No
CUST00211,32.0,male,12,139.07,,Two Year,Mailed Check,DSL,No,0,No,No,Yes
CUST00212,49.0,Female,3,57.43,767.29,One Year,Mailed Check,No,No,0,Yes,No,No
CUST00213,49.0,Male,4,44.12,8238.96,One Year,Bank Transfer,Fiber Optic,No,0,No,No,No
CUST00214,41.0,male,4,104.72,3650.28,Month-to-Month,Credit Card,DSL,Yes,1,Yes,Yes,No
CUST00215,58.0,Female,3,112.64,3555.21,One Year,Bank Transfer,DSL,Yes,1,No,No,No
CUST00216,69.0,Male,3,109.44,2738.74,Month-to-Month,Bank Transfer,Fiber Optic,Yes,1,No,Yes,Yes
CUST00217,66.0,Male,3,61.51,4156.76,Month-to-Month,Mailed Check,DSL,Yes,0,Yes,No,No
CUST00218,66.0,male,3,52.79,2280.8,Month-to-Month,Credit Card,DSL,Yes,1,No,Yes,No
CUST00219,69.0,Male,3,144.27,,One Year,Mailed Check,DSL,No,0,Yes,Yes,No
CUST00220,29.0,male,4,140.03,7203.52,Month-to-Month,Bank Transfer,DSL,No,0,No,Yes,Yes
CUST00221,56.0,Male,1,79.45,7511.61,Month-to-Month,Credit Card,Fiber Optic,No,0,No,Yes,No
CUST00222,19.0,M,1,130.01,2751.56,One Year,Electronic Check,DSL,Yes,0,Yes,Yes,Yes
CUST00223,20.0,Female,8,78.8,4231.75,Month-to-Month,Mailed Check,DSL,Yes,0,No,No,Yes
CUST00224,66.0,M,1,75.17,7866.9,Two Year,Electronic Check,DSL,Yes,1,No,Yes,No
CUST00225,54.0,male,5,40.38,493.01,One Year,Electronic Check,No,Yes,1,No,No,Yes
CUST00226,66.0,M,1,75.43,8004.52,One Year,Electronic Check,No,Yes,1,No,Yes,No
CUST00227,34.0,male,4,89.86,1988.28,One Year,Electronic Check,Fiber Optic,No,1,No,No,Yes
CUST00228,66.0,Male,3,22.93,6113.28,Two Year,Credit Card,Fiber Optic,Yes,0,Yes,Yes,No
CUST00229,19.0,Male,11,77.73,5251.31,Month-to-Month,Mailed Check,Fiber Optic,No,1,Yes,Yes,Yes
CUST00230,19.0,male,6,121.58,4985.41,One Year,Credit Card,DSL,Yes,1,Yes,No,No
CUST00231,45.0,M,14,108.41,7737.05,One Year,Mailed Check,No,No,0,Yes,No,No
CUST00232,40.0,Male,6,102.57,932.12,One Year,Mailed Check,No,Yes,0,Yes,No,Yes
CUST00233,54.0,Female,12,138.24,3136.31,Two Year,Mailed Check,Fiber Optic,Yes,0,Yes,No,No
CUST00234,49.0,Male,5,22.34,4853.51,Two Year,Credit Card,No,No,1,No,No,No
CUST00235,50.0,Female,9,92.42,7305.37,Two Year,Bank Transfer,Fiber Optic,Yes,1,Yes,Yes,No
CUST00236,18.0,M,4,122.36,1963.66,Month-to-Month,Electronic Check,DSL,Yes,1,Yes,Yes,No
CUST00237,36.0,Female,0,90.37,7230.31,Month-to-Month,Bank Transfer,No,Yes,0,No,Yes,No
CUST00238,19.0,Female,11,62.11,3608.75,Two Year,Bank Transfer,DSL,No,0,No,No,No
CUST00239,61.0,Female,14,37.71,1716.45,Month-to-Month,Bank Transfer,DSL,No,0,Yes,Yes,No
CUST00240,43.0,Female,2,135.38,6835.7,Two Year,Electronic Check,No,Yes,0,No,No,No
CUST00241,49.0,Male,8,81.2,836.27,Month-to-Month,Bank Transfer,Fiber Optic,No,0,No,Yes,Yes
CUST00242,,Female,14,134.15,4642.61,Month-to-Month,Electronic Check,No,No,0,No,No,Yes
CUST00243,49.0,Male,13,96.16,593.6,Two Year,Electronic Check,DSL,No,1,No,No,No
CUST00244,21.0,Female,0,107.64,3220.63,One Year,Electronic Check,Fiber Optic,No,0,Yes,Yes,Yes
CUST00245,28.0,male,4,124.55,5417.67,One Year,Mailed Check,DSL,No,0,Yes,No,No
CUST00246,34.0,M,1,105.69,5013.92,Month-to-Month,Mailed Check,Fiber Optic,Yes,0,No,Yes,No
CUST00247,55.0,Female,3,71.75,3653.81,Month-to-Month,Bank Transfer,No,Yes,0,No,Yes,No
CUST00248,41.0,male,13,86.77,3872.85,Month-to-Month,Mailed Check,DSL,Yes,0,No,No,Yes
CUST00249,22.0,Female,13,124.4,2056.39,Month-to-Month,Electronic Check,Fiber Optic,No,0,Yes,Yes,No
CUST00250,69.0,Female,10,68.57,4113.83,Month-to-Month,Mailed Check,Fiber Optic,No,0,No,No,No
CUST00251,51.0,Female,0,70.46,8580.23,Month-to-Month,Electronic Check,No,No,0,Yes,No,No
CUST00252,23.0,male,2,32.44,7657.07,Two Year,Credit Card,Fiber Optic,Yes,0,Yes,Yes,No
CUST00253,39.0,M,9,138.9,1324.19,One Year,Mailed Check,Fiber Optic,Yes,1,No,No,No
